iter	PairLogit
0	0.6234249543
1	0.5759757616
2	0.54193481
3	0.5174439232
4	0.4988418866
5	0.4847393087
6	0.4743525076
7	0.4663386129
8	0.4596627066
9	0.4545720045
10	0.4510540867
11	0.4479956379
12	0.4456308798
13	0.4419659318
14	0.4404044548
15	0.4388803815
16	0.4375997909
17	0.4366084505
18	0.4358586903
19	0.4341849665
20	0.4312295034
21	0.429822846
22	0.4289876891
23	0.4262527712
24	0.4251545324
25	0.4240371251
26	0.4235504827
27	0.422805389
28	0.422001713
29	0.421008829
30	0.4190656337
31	0.4183859425
32	0.4173181436
33	0.4164627055
34	0.4147824486
35	0.4137715089
36	0.412437182
37	0.4114507952
38	0.4108936171
39	0.4101746916
40	0.409228293
41	0.4083271951
42	0.4075875935
43	0.4069033794
44	0.405617548
45	0.4045127761
46	0.4037697643
47	0.4028469853
48	0.4019269344
49	0.400874104
50	0.3997512765
51	0.3990879539
52	0.3988583988
53	0.39812612
54	0.3969818266
55	0.3963229192
56	0.3957456394
57	0.3947427045
58	0.3941681887
59	0.3936609779
60	0.3930020346
61	0.3923496962
62	0.3916267144
63	0.3912320376
64	0.390462391
65	0.3899524162
66	0.3891674779
67	0.3887298336
68	0.3876173441
69	0.3868543382
70	0.3860373089
71	0.385389637
72	0.3845191225
73	0.3839122285
74	0.3833609374
75	0.3825869832
76	0.3814825344
77	0.3807461993
78	0.3798597471
79	0.3792145879
80	0.3784842474
81	0.378241339
82	0.3774893173
83	0.3769000482
84	0.3760840599
85	0.3756166937
86	0.3751488249
87	0.3746682131
88	0.3739580462
89	0.3732923903
90	0.3726264832
91	0.3721169392
92	0.3714781695
93	0.3710008601
94	0.370525166
95	0.3701369505
96	0.3692449702
97	0.3684379918
98	0.368158613
99	0.3676980312
100	0.3669922795
101	0.3664879045
102	0.3656840849
103	0.3651283785
104	0.3642361829
105	0.3639746445
106	0.363429348
107	0.3625850018
108	0.3620022299
109	0.3614306216
110	0.3606396528
111	0.3602401659
112	0.3599951397
113	0.3591431476
114	0.3585066752
115	0.3578818691
116	0.3571046843
117	0.3564930879
118	0.3562295393
119	0.3556891247
120	0.3551250187
121	0.3549307135
122	0.3542723446
123	0.353799558
124	0.3532578512
125	0.3527471226
126	0.3521335878
127	0.3517285371
128	0.3509895456
129	0.350487468
130	0.349892994
131	0.3493058068
132	0.3487201991
133	0.3484591632
134	0.347986987
135	0.3472769637
136	0.3466049542
137	0.3459870401
138	0.3457548287
139	0.3453516087
140	0.3447106852
141	0.3443302951
142	0.343559105
143	0.3432534144
144	0.342716051
145	0.3420914961
146	0.3414666899
147	0.3409730478
148	0.3402077805
149	0.3398261699
150	0.3392388751
151	0.3386931838
152	0.3383034248
153	0.3378924512
154	0.3375633565
155	0.3369682004
156	0.3363704599
157	0.3355271187
158	0.3349934167
159	0.3343719129
160	0.3339032545
161	0.3336394905
162	0.3333292412
163	0.3331201828
164	0.3326974353
165	0.3321038228
166	0.3317067769
167	0.3311112978
168	0.3305331564
169	0.3300446834
170	0.3296167669
171	0.3293915193
172	0.3287545444
173	0.3282817938
174	0.3277993154
175	0.3272577521
176	0.3266455454
177	0.3261472728
178	0.3257341813
179	0.3253260077
180	0.3250188454
181	0.3248655335
182	0.3245683144
183	0.3240179207
184	0.3236796007
185	0.323110577
186	0.3224820017
187	0.3220022873
188	0.3214536525
189	0.3209616975
190	0.3208010987
191	0.3202870677
192	0.3198501772
193	0.3193321617
194	0.3188793693
195	0.3184285152
196	0.3178277594
197	0.3174760861
198	0.3169306819
199	0.3166775791
