iter	Passed	Remaining
0	137	27389
1	258	25592
2	366	24062
3	475	23317
4	582	22715
5	692	22405
6	799	22029
7	908	21806
8	1019	21643
9	1137	21613
10	1246	21413
11	1355	21229
12	1461	21016
13	1573	20901
14	1681	20734
15	1793	20623
16	1901	20463
17	2008	20303
18	2112	20122
19	2218	19970
20	2328	19849
21	2441	19757
22	2545	19590
23	2653	19460
24	2762	19339
25	2873	19231
26	2977	19080
27	3087	18963
28	3192	18826
29	3301	18707
30	3411	18596
31	3515	18453
32	3625	18345
33	3733	18228
34	3843	18119
35	3964	18059
36	4082	17983
37	4189	17862
38	4294	17727
39	4414	17656
40	4523	17542
41	4632	17425
42	4739	17303
43	4845	17179
44	4958	17077
45	5069	16971
46	5179	16859
47	5290	16751
48	5398	16636
49	5509	16529
50	5624	16433
51	5731	16311
52	5836	16187
53	5945	16073
54	6061	15979
55	6166	15856
56	6274	15741
57	6384	15631
58	6491	15514
59	6596	15392
60	6706	15282
61	6816	15171
62	6924	15057
63	7029	14937
64	7139	14828
65	7247	14715
66	7355	14601
67	7463	14488
68	7576	14383
69	7682	14267
70	7791	14156
71	7897	14039
72	8006	13928
73	8114	13815
74	8221	13702
75	8331	13593
76	8449	13496
77	8557	13384
78	8666	13273
79	8780	13170
80	8889	13060
81	8995	12944
82	9106	12837
83	9215	12726
84	9325	12616
85	9431	12501
86	9537	12387
87	9645	12276
88	9753	12164
89	9865	12057
90	9980	11954
91	10085	11840
92	10196	11731
93	10304	11620
94	10412	11508
95	10520	11397
96	10635	11293
97	10746	11184
98	10850	11070
99	10959	10959
100	11067	10848
101	11177	10739
102	11286	10628
103	11394	10517
104	11505	10410
105	11611	10296
106	11732	10197
107	11847	10092
108	11960	9985
109	12068	9874
110	12179	9765
111	12285	9652
112	12390	9539
113	12504	9433
114	12610	9320
115	12718	9209
116	12828	9100
117	12935	8988
118	13039	8875
119	13146	8764
120	13254	8653
121	13358	8540
122	13470	8432
123	13576	8320
124	13685	8211
125	13793	8101
126	13901	7990
127	14008	7879
128	14117	7770
129	14225	7660
130	14332	7549
131	14445	7441
132	14556	7332
133	14662	7221
134	14772	7112
135	14885	7004
136	14994	6895
137	15105	6786
138	15210	6675
139	15318	6564
140	15427	6455
141	15532	6344
142	15652	6239
143	15761	6129
144	15869	6019
145	15980	5910
146	16088	5800
147	16194	5690
148	16308	5581
149	16414	5471
150	16521	5361
151	16629	5251
152	16734	5140
153	16840	5030
154	16945	4919
155	17055	4810
156	17164	4701
157	17278	4593
158	17387	4483
159	17491	4372
160	17596	4262
161	17700	4152
162	17805	4041
163	17911	3931
164	18019	3822
165	18127	3712
166	18236	3603
167	18344	3494
168	18453	3385
169	18560	3275
170	18668	3165
171	18774	3056
172	18888	2947
173	18995	2838
174	19104	2729
175	19219	2620
176	19330	2511
177	19437	2402
178	19544	2292
179	19651	2183
180	19756	2073
181	19860	1964
182	19968	1854
183	20081	1746
184	20186	1636
185	20292	1527
186	20403	1418
187	20513	1309
188	20621	1200
189	20729	1091
190	20834	981
191	20943	872
192	21051	763
193	21162	654
194	21268	545
195	21376	436
196	21487	327
197	21595	218
198	21703	109
199	21810	0
