iter	Logloss
0	0.6775600462
1	0.6631019277
2	0.6523501098
3	0.640428771
4	0.6315230506
5	0.6253325479
6	0.6194285185
7	0.6149480009
8	0.6105610237
9	0.6063221933
10	0.6021573477
11	0.5992730281
12	0.5964615848
13	0.5948972119
14	0.592704401
15	0.5905987578
16	0.5889657025
17	0.5872870155
18	0.5861072082
19	0.584390592
20	0.5835779902
21	0.5822502483
22	0.580893575
23	0.5794914537
24	0.5787300082
25	0.5779499128
26	0.5771590196
27	0.576258408
28	0.5755119125
29	0.5750508827
30	0.5747344254
31	0.5743505867
32	0.5737301257
33	0.5732891105
34	0.5728336184
35	0.5721092067
36	0.5713037449
37	0.5710330349
38	0.5706171425
39	0.5702173195
40	0.5699065086
41	0.5696431327
42	0.5692485057
43	0.5687324704
44	0.5682988828
45	0.5680047648
46	0.5676560592
47	0.5674277434
48	0.5669981866
49	0.5662693207
50	0.5660061938
51	0.5658523314
52	0.5656118572
53	0.5653127464
54	0.5650406258
55	0.564713922
56	0.5645199327
57	0.5643443628
58	0.5640709781
59	0.5636819522
60	0.5633960996
61	0.5631137471
62	0.5628419367
63	0.5625599024
64	0.5622523389
65	0.5620286432
66	0.5616089504
67	0.5613193709
68	0.5610380353
69	0.560817137
70	0.5604235029
71	0.560179251
72	0.5598666606
73	0.5595892133
74	0.5594057337
75	0.5591231509
76	0.5588310855
77	0.558590514
78	0.5584383148
79	0.5581721908
80	0.5579081144
81	0.5576957716
82	0.5574817809
83	0.5572814999
84	0.5570058974
85	0.5567666654
86	0.5566101518
87	0.5564065755
88	0.5560511932
89	0.5559282617
90	0.5555328206
91	0.5554319797
92	0.5552600444
93	0.5551098207
94	0.5549453692
95	0.5547393171
96	0.5544833401
97	0.5541476909
98	0.5539416129
99	0.5537825903
100	0.5536158376
101	0.5534650979
102	0.5532700792
103	0.553163188
104	0.5530725225
105	0.5528617589
106	0.5527204069
107	0.5525245775
108	0.552275217
109	0.55208746
110	0.5518877176
111	0.551688857
112	0.5514004973
113	0.5510948783
114	0.550818624
115	0.5504946056
116	0.5503017537
117	0.5501022065
118	0.5499112281
119	0.5496846969
120	0.5494245394
121	0.5492075604
122	0.5488484487
123	0.5484279662
124	0.5481207341
125	0.5478716926
126	0.5473748789
127	0.5470766537
128	0.5468155134
129	0.546497879
130	0.5461886385
131	0.5459037327
132	0.5456612723
133	0.5453547408
134	0.544961669
135	0.5446487229
136	0.5442178588
137	0.5439051841
138	0.5435856206
139	0.5432860518
140	0.542839412
141	0.5422706448
142	0.5420154369
143	0.5416650594
144	0.5413002249
145	0.5408563946
146	0.5404913749
147	0.5401375411
148	0.5396612132
149	0.5392489068
150	0.53901933
151	0.5387262783
152	0.5383671911
153	0.5381296192
154	0.5378699496
155	0.5376800659
156	0.5373795439
157	0.5370133123
158	0.5366993769
159	0.536510952
160	0.5362468565
161	0.535902729
162	0.5354529381
163	0.5351901205
164	0.5349346757
165	0.5346194722
166	0.5343326627
167	0.5340362689
168	0.5338614402
169	0.533581825
170	0.5333504166
171	0.5330735684
172	0.5327502579
173	0.5325788868
174	0.5323060663
175	0.5320241663
176	0.5317448708
177	0.5314222262
178	0.5311469954
179	0.5309377792
180	0.5306956652
181	0.5303974112
182	0.5301079848
183	0.5298394492
184	0.5295847368
185	0.5292899474
186	0.5289849971
187	0.5287579544
188	0.5284058348
189	0.5281061376
190	0.5278895913
191	0.5274362655
192	0.5271877475
193	0.5269891702
194	0.5266946597
195	0.5265037298
196	0.5263393154
197	0.5260301018
198	0.5257231895
199	0.5254421741
