iter	Passed	Remaining
0	66	13282
1	83	8232
2	98	6473
3	113	5545
4	126	4948
5	141	4563
6	155	4294
7	170	4094
8	185	3943
9	200	3807
10	215	3695
11	229	3595
12	243	3498
13	257	3422
14	272	3359
15	285	3287
16	299	3225
17	313	3173
18	327	3123
19	341	3077
20	356	3035
21	370	3001
22	385	2964
23	400	2935
24	415	2905
25	428	2870
26	443	2841
27	457	2808
28	471	2781
29	485	2750
30	498	2718
31	512	2688
32	526	2665
33	540	2639
34	554	2613
35	569	2594
36	583	2569
37	596	2543
38	610	2519
39	624	2499
40	638	2476
41	652	2455
42	666	2433
43	680	2413
44	694	2392
45	708	2372
46	722	2352
47	735	2330
48	749	2309
49	763	2290
50	777	2270
51	790	2250
52	803	2229
53	818	2212
54	833	2196
55	847	2179
56	861	2160
57	875	2142
58	889	2124
59	902	2106
60	917	2091
61	932	2074
62	947	2059
63	961	2042
64	975	2025
65	989	2008
66	1002	1989
67	1016	1973
68	1030	1956
69	1044	1938
70	1057	1921
71	1072	1905
72	1086	1889
73	1100	1873
74	1113	1856
75	1128	1841
76	1142	1825
77	1156	1808
78	1170	1792
79	1185	1777
80	1198	1760
81	1212	1745
82	1227	1729
83	1240	1713
84	1254	1697
85	1268	1681
86	1281	1664
87	1296	1649
88	1309	1633
89	1323	1617
90	1336	1601
91	1350	1585
92	1364	1569
93	1378	1554
94	1392	1538
95	1406	1523
96	1420	1508
97	1435	1493
98	1449	1478
99	1462	1462
100	1476	1447
101	1491	1432
102	1506	1418
103	1520	1403
104	1532	1386
105	1546	1371
106	1560	1356
107	1574	1341
108	1589	1326
109	1602	1311
110	1616	1296
111	1630	1281
112	1643	1265
113	1658	1251
114	1673	1237
115	1688	1222
116	1701	1207
117	1715	1191
118	1728	1176
119	1742	1161
120	1757	1147
121	1770	1131
122	1783	1116
123	1797	1101
124	1811	1086
125	1824	1071
126	1839	1057
127	1853	1042
128	1866	1027
129	1881	1012
130	1895	998
131	1908	983
132	1922	968
133	1936	953
134	1949	938
135	1963	924
136	1977	909
137	1990	894
138	2004	879
139	2017	864
140	2031	849
141	2045	835
142	2059	820
143	2072	806
144	2086	791
145	2100	776
146	2114	762
147	2128	747
148	2142	733
149	2155	718
150	2169	704
151	2183	689
152	2197	675
153	2211	660
154	2224	645
155	2237	631
156	2251	616
157	2265	602
158	2279	587
159	2292	573
160	2307	558
161	2321	544
162	2335	530
163	2349	515
164	2362	501
165	2376	486
166	2390	472
167	2403	457
168	2417	443
169	2432	429
170	2446	414
171	2460	400
172	2473	386
173	2487	371
174	2501	357
175	2515	343
176	2529	328
177	2543	314
178	2556	299
179	2571	285
180	2584	271
181	2598	257
182	2613	242
183	2627	228
184	2641	214
185	2655	199
186	2670	185
187	2685	171
188	2702	157
189	2717	143
190	2732	128
191	2747	114
192	2763	100
193	2778	85
194	2793	71
195	2808	57
196	2822	42
197	2836	28
198	2850	14
199	2864	0
